1,in_use,,,Opcode,prependage,appendage,Specific,variant,comments,,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,,31:30:29:28:27:26:25:24:23:22:21:20:19:18:17:16:15:14:13:12:11:10:9:8:7:6:5:4:3:2:1:0,,Binary,,NAME,//		Opcode                                                          	BINARY    	OPCODE    	comments,//		BINARY    	Opcode    	Opcode	comments
47,,,,STLXRB,,,,,,,0,0,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08008000,,"stlxrb,                                                 ","		stlxrb,                                                 	/* 0x08008000	STLXRB    	 */","		0x08008000,	/* STLXRB    	stlxrb	 */"
48,,,,LDXRB,,,,,,,0,0,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08400000,,"ldxrb,                                                  ","		ldxrb,                                                  	/* 0x08400000	LDXRB     	 */","		0x08400000,	/* LDXRB     	ldxrb	 */"
49,,,,LDAXRB,,,,,,,0,0,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08408000,,"ldaxrb,                                                 ","		ldaxrb,                                                 	/* 0x08408000	LDAXRB    	 */","		0x08408000,	/* LDAXRB    	ldaxrb	 */"
50,,,,STLRB,,,,,,,0,0,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08808000,,"stlrb,                                                  ","		stlrb,                                                  	/* 0x08808000	STLRB     	 */","		0x08808000,	/* STLRB     	stlrb	 */"
51,,,,LDARB,,,,,,,0,0,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x08C08000,,"ldarb,                                                  ","		ldarb,                                                  	/* 0x08C08000	LDARB     	 */","		0x08C08000,	/* LDARB     	ldarb	 */"
52,,,,STXRH,,,,,,,0,1,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48000000,,"stxrh,                                                  ","		stxrh,                                                  	/* 0x48000000	STXRH     	 */","		0x48000000,	/* STXRH     	stxrh	 */"
53,,,,STLXRH,,,,,,,0,1,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48008000,,"stlxrh,                                                 ","		stlxrh,                                                 	/* 0x48008000	STLXRH    	 */","		0x48008000,	/* STLXRH    	stlxrh	 */"
54,,,,LDXRH,,,,,,,0,1,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48400000,,"ldxrh,                                                  ","		ldxrh,                                                  	/* 0x48400000	LDXRH     	 */","		0x48400000,	/* LDXRH     	ldxrh	 */"
55,,,,LDAXRH,,,,,,,0,1,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48408000,,"ldaxrh,                                                 ","		ldaxrh,                                                 	/* 0x48408000	LDAXRH    	 */","		0x48408000,	/* LDAXRH    	ldaxrh	 */"
56,,,,STLRH,,,,,,,0,1,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48808000,,"stlrh,                                                  ","		stlrh,                                                  	/* 0x48808000	STLRH     	 */","		0x48808000,	/* STLRH     	stlrh	 */"
57,,,,LDARH,,,,,,,0,1,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x48C08000,,"ldarh,                                                  ","		ldarh,                                                  	/* 0x48C08000	LDARH     	 */","		0x48C08000,	/* LDARH     	ldarh	 */"
58,,,,STXR,,w,,W,,,1,0,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88000000,,"stxrw,                                                  ","		stxrw,                                                  	/* 0x88000000	STXR      	 */","		0x88000000,	/* STXR      	stxrw	 */"
59,,,,STLXR,,w,,W,,,1,0,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88008000,,"stlxrw,                                                 ","		stlxrw,                                                 	/* 0x88008000	STLXR     	 */","		0x88008000,	/* STLXR     	stlxrw	 */"
60,,,,STXP,,w,,W,,,1,0,0,0,1,0,0,0,0,0,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88200000,,"stxpw,                                                  ","		stxpw,                                                  	/* 0x88200000	STXP      	 */","		0x88200000,	/* STXP      	stxpw	 */"
61,,,,STLXP,,w,,W,,,1,0,0,0,1,0,0,0,0,0,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88208000,,"stlxpw,                                                 ","		stlxpw,                                                 	/* 0x88208000	STLXP     	 */","		0x88208000,	/* STLXP     	stlxpw	 */"
62,,,,LDXR,,w,,W,,,1,0,0,0,1,0,0,0,0,1,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88400000,,"ldxrw,                                                  ","		ldxrw,                                                  	/* 0x88400000	LDXR      	 */","		0x88400000,	/* LDXR      	ldxrw	 */"
63,,,,LDAXR,,w,,W,,,1,0,0,0,1,0,0,0,0,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88408000,,"ldaxrw,                                                 ","		ldaxrw,                                                 	/* 0x88408000	LDAXR     	 */","		0x88408000,	/* LDAXR     	ldaxrw	 */"
64,,,,LDXP,,w,,W,,,1,0,0,0,1,0,0,0,0,1,1,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88600000,,"ldxpw,                                                  ","		ldxpw,                                                  	/* 0x88600000	LDXP      	 */","		0x88600000,	/* LDXP      	ldxpw	 */"
65,,,,LDAXP,,w,,W,,,1,0,0,0,1,0,0,0,0,1,1,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88608000,,"ldaxpw,                                                 ","		ldaxpw,                                                 	/* 0x88608000	LDAXP     	 */","		0x88608000,	/* LDAXP     	ldaxpw	 */"
66,,,,STLR,,w,,W,,,1,0,0,0,1,0,0,0,1,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88808000,,"stlrw,                                                  ","		stlrw,                                                  	/* 0x88808000	STLR      	 */","		0x88808000,	/* STLR      	stlrw	 */"
67,,,,LDAR,,w,,W,,,1,0,0,0,1,0,0,0,1,1,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0x88C08000,,"ldarw,                                                  ","		ldarw,                                                  	/* 0x88C08000	LDAR      	 */","		0x88C08000,	/* LDAR      	ldarw	 */"
68,,,,STXR,,x,,X,,,1,1,0,0,1,0,0,0,0,0,0,Rs,,,,,0,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8000000,,"stxrx,                                                  ","		stxrx,                                                  	/* 0xC8000000	STXR      	 */","		0xC8000000,	/* STXR      	stxrx	 */"
69,,,,STLXR,,x,,X,,,1,1,0,0,1,0,0,0,0,0,0,Rs,,,,,1,Rt2,,,,,Rn,,,,,Rt,,,,,,-:-:-:-:-:-:-:-:-:-:-:Rs:::::-:Rt2:::::Rn:::::Rt::::,,0xC8008000,,"stlxrx,                                                 ","		stlxrx,                                                 	/* 0xC8008000	STLXR     	 */","		0xC8008000,	/* STLXR     	stlxrx	 */"
